cartodb_id,the_geom,field_1,centroid,lat,long,count,source_cartodb_id,source_field_1
4501,0101000020E6100000DB8BE402827C52C04C7C625B0E5A4440,sleevywonder,POINT,40.70356314,-73.94543526,8,1,bk
4524,0101000020E61000004EFDCDD5A07C52C0DF1D5356575A4440,CodyBrown,POINT,40.70579032,-73.9473166,8,1,bk
4566,0101000020E6100000B6A8AA2BFA7C52C0EA7A1EB31E5C4440,iiANNIEExD,POINT,40.71968688,-73.9527692,8,1,bk
4575,0101000020E6100000C37064D4EB7C52C0EB873B8B1C5B4440,TEENSLUT666,POINT,40.71180859,-73.9518939,8,1,bk
4603,0101000020E6100000AEB1F09A3C7C52C031C7FA1FC3594440,huntyhoop,POINT,40.70126724,-73.94119905,8,1,bk
4652,0101000020E6100000F9586E27997D52C082B7F6F4C75B4440,JoeLallouz,POINT,40.7170397,-73.96247278,8,1,bk
4671,0101000020E610000029B449D10C7C52C0F0078F78AA594440,sevanneheaven,POINT,40.70051486,-73.93828232,8,1,bk
4711,0101000020E61000001AA443549F7C52C080A0587ECB5A4440,chrisdaveskill,POINT,40.70933513,-73.94722468,8,1,bk
4751,0101000020E610000051FDBDF30F7D52C00DD8FE635B5B4440,Gasolineheart77,POINT,40.71372652,-73.95409864,8,1,bk
4771,0101000020E6100000ECAC2F75047D52C02AF3C1F80A5B4440,BoSchwartz,POINT,40.71127233,-73.95339708,8,1,bk
4775,0101000020E61000003F0BD7DD1B7C52C0D6771B27C75A4440,slambelll,POINT,40.70920266,-73.93920084,8,1,bk
4807,0101000020E61000003D50E1E7437C52C02E9AC6DD3D5A4440,lumenvituli,POINT,40.70501301,-73.94164464,8,1,bk
4809,0101000020E6100000BDC1DD7A497D52C0BFBDA57B215C4440,daisandconfused,POINT,40.71977182,-73.95760986,8,1,bk
4827,0101000020E61000005411B8BF847B52C0600A4945675A4440,iamFinnbogi,POINT,40.70627657,-73.92997735,8,1,bk
4852,0101000020E610000034DD465EB17A52C084B14B75FD584440,JuAnGusto_C8S,POINT,40.69523493,-73.9170757,8,1,bk
4873,0101000020E61000005AFE53DCFE7C52C0614D4CB4375C4440,Robertoross,POINT,40.72044996,-73.95305546,8,1,bk
4897,0101000020E61000003A0B9477427B52C0A396200292594440,SheSoBrooklyn,POINT,40.69976832,-73.92593183,8,1,bk
4907,0101000020E6100000038C15D2AD7D52C0F0083C6A2B5C4440,hragv,POINT,40.72007492,-73.96373417,7,1,bk
4937,0101000020E6100000F7FCD588457D52C0C1836E48865B4440,funnybone_1,POINT,40.71503549,-73.95736905,7,1,bk
4985,0101000020E6100000967011AD4F7A52C0CAC573113A5A4440,CattGee,POINT,40.7048971,-73.91111304,7,1,bk
4987,0101000020E6100000EF36F3D4B87B52C06EFDD391CC594440,destinyrose__xo,POINT,40.70155547,-73.93315624,7,1,bk
5038,0101000020E6100000FFC76C3D817D52C0808DB9A5345B4440,djpreskool,POINT,40.71254417,-73.96101318,7,1,bk
5047,0101000020E61000000E97E2CB007A52C05D63C02790554440,BB_Fashionista,POINT,40.66846177,-73.90629861,7,1,bk
5058,0101000020E6100000FF2B23DC817D52C0E84F768EDC5B4440,heyfeifer,POINT,40.71766835,-73.96105102,7,1,bk
5076,0101000020E610000013A295DEEB7C52C007B4D72F965B4440,carey_rand,POINT,40.71552084,-73.95189633,7,1,bk
5149,0101000020E6100000ECFD80E6777B52C00869F8DC2A5B4440,sweetiepiehaile,POINT,40.71224558,-73.92919314,7,1,bk
5152,0101000020E6100000819EBC7EF77952C06572073DDD524440,merylissaflores,POINT,40.64737666,-73.9057309,7,1,bk
5171,0101000020E61000002515B634317C52C06E9EB0E5115B4440,uhokayy,POINT,40.71148368,-73.94050329,7,1,bk
5186,0101000020E61000008ED7721D197D52C0F7CA9B476E5B4440,JasperColorado,POINT,40.71430297,-73.9546579,7,1,bk
5189,0101000020E61000001C331EDFBD7D52C05573F36CDA5B4440,pamelarogel,POINT,40.71760332,-73.96471384,7,1,bk
5301,0101000020E6100000FDD4805A2F7D52C011DA7A9F0D5C4440,vaughntr,POINT,40.71916574,-73.95601523,7,1,bk
